country,year,score,property_right,government_integrity,judicial_effectiveness,tax_burden,government_spending,fiscal_health,business_freedom,labor_freedom,monetary_freedom,trade_freedom,investment_freedom,financial_freedom,africa,asia,europe,north_america,oceania,south_america
Argentina,2023,50.1,35.1,45.1,57.9,73.3,53.0,16.8,55.1,51.0,37.9,60.6,55.0,60.0,0,0,0,0,0,1
Barbados,2023,71.3,72.6,68.7,88.2,80.6,70.8,79.7,64.7,63.4,78.6,58.4,70.0,60.0,0,0,0,1,0,0
Belize,2023,56.6,34.7,38.1,70.2,77.0,64.1,37.6,54.0,59.9,82.5,55.6,55.0,50.0,0,0,0,1,0,0
Bolivia,2023,43.0,14.1,28.7,28.4,86.0,58.8,10.9,54.7,46.2,72.8,60.8,15.0,40.0,0,0,0,0,0,1
Brazil,2023,53.3,50.3,40.0,57.2,69.9,53.8,0.4,63.2,55.9,78.4,60.0,60.0,50.0,0,0,0,0,0,1
Canada,2023,76.6,89.5,86.7,96.4,75.7,39.6,62.8,78.8,68.7,78.2,83.2,80.0,80.0,0,0,0,1,0,0
Chile,2023,74.4,73.0,71.4,91.4,72.4,78.1,75.3,76.2,58.0,79.4,78.0,70.0,70.0,0,0,0,0,0,1
Colombia,2023,65.1,50.9,42.0,59.1,71.3,66.0,56.7,68.8,60.7,79.3,76.4,80.0,70.0,0,0,0,0,0,1
Costa Rica,2023,65.4,66.4,63.1,78.4,79.2,86.6,10.9,66.0,56.6,83.1,74.6,70.0,50.0,0,0,0,1,0,0
Cuba,2023,29.5,31.5,39.9,15.6,48.4,0.0,11.4,41.1,20.0,61.8,64.0,10.0,10.0,0,0,0,1,0,0
Dominica,2023,54.4,68.1,56.2,81.6,71.6,8.5,1.1,55.8,59.0,84.9,55.6,70.0,40.0,0,0,0,1,0,0
Dominican Republic,2023,63.0,54.0,30.8,55.9,84.6,89.9,66.8,68.1,52.9,73.5,69.0,70.0,40.0,0,0,0,1,0,0
Ecuador,2023,54.3,31.4,37.2,47.3,77.5,59.7,63.1,60.3,57.3,81.5,61.0,35.0,40.0,0,0,0,0,0,1
El Salvador,2023,59.6,43.2,36.1,46.8,77.7,74.7,50.3,65.0,54.6,76.8,69.4,60.0,60.0,0,0,0,1,0,0
Guatemala,2023,63.2,39.8,26.5,36.9,91.5,94.0,83.3,62.1,50.3,79.3,75.0,70.0,50.0,0,0,0,1,0,0
Guyana,2023,59.5,46.9,41.5,47.4,67.5,74.8,67.4,63.1,67.3,83.3,69.4,55.0,30.0,0,0,0,0,0,1
Haiti,2023,50.0,24.1,14.3,18.6,81.5,97.0,94.8,33.5,54.7,56.2,65.4,30.0,30.0,0,0,0,1,0,0
Honduras,2023,59.5,40.3,25.4,29.0,82.7,78.7,92.1,56.9,39.1,72.7,71.6,65.0,60.0,0,0,0,1,0,0
Jamaica,2023,67.4,65.0,49.0,70.6,76.6,71.6,79.4,56.5,64.7,76.2,69.2,80.0,50.0,0,0,0,1,0,0
Mexico,2023,63.7,47.7,32.0,40.7,76.0,78.3,78.0,69.2,58.4,73.0,76.6,75.0,60.0,0,0,0,1,0,0
Nicaragua,2023,54.8,30.1,19.0,19.5,75.3,76.2,87.3,53.8,46.9,72.0,67.8,60.0,50.0,0,0,0,1,0,0
Panama,2023,65.4,58.8,38.0,50.7,85.5,81.9,40.7,67.1,61.5,78.1,77.2,75.0,70.0,0,0,0,1,0,0
Paraguay,2023,62.9,45.5,29.5,37.9,96.1,84.0,68.8,65.4,39.4,75.6,77.0,75.0,60.0,0,0,0,0,0,1
Peru,2023,66.5,49.7,39.7,49.7,79.5,84.2,73.1,65.3,59.6,81.4,81.4,75.0,60.0,0,0,0,0,0,1
Saint Lucia,2023,64.3,66.8,58.1,76.9,77.5,78.7,50.1,61.5,58.2,82.2,56.6,65.0,40.0,0,0,0,1,0,0
Saint Vincent and the Grenadines,2023,65.7,64.0,62.0,76.9,75.5,66.9,68.5,61.4,58.8,84.2,59.8,70.0,40.0,0,0,0,1,0,0
Suriname,2023,48.1,51.2,37.6,45.8,70.2,66.6,0.0,52.7,64.2,58.4,60.6,40.0,30.0,0,0,0,0,0,1
Bahamas,2023,68.7,61.1,64.3,78.8,96.5,85.8,67.3,63.3,69.3,79.2,49.0,50.0,60.0,0,0,0,1,0,0
Trinidad and Tobago,2023,58.8,58.8,44.2,59.3,79.1,69.0,12.9,60.9,57.4,84.6,68.8,60.0,50.0,0,0,0,1,0,0
United States,2023,72.1,95.7,75.7,77.9,75.9,54.5,0.0,87.5,75.8,82.3,75.2,85.0,80.0,0,0,0,1,0,0
Uruguay,2023,70.0,84.0,75.2,80.4,72.4,70.2,75.2,75.7,60.3,70.9,70.4,75.0,30.0,0,0,0,0,0,1
Venezuela,2023,24.8,0.2,7.1,4.6,74.1,78.3,0.0,30.8,37.6,0.0,54.8,0.0,10.0,0,0,0,0,0,1
Argentina,2022,50.1,35.1,45.1,57.9,73.3,53.0,16.8,55.1,51.0,37.9,60.6,55.0,60.0,0,0,0,0,0,1
